"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
791.15,799.9,820.325,847.775,849.3,874.15,873.1,937.925,918.375,905.65,912.575,920.425,914.125,872.725,842.9,873.275,905.85,926.35,922.925
4684.1,4992.6,5389.25,5428.25,5355.25,5430.75,5301.5,5499,4967.7,4639.15,4617.5,4657.55,4452.65,4231.1,3751.2,3792.25,4169.05,4152.2,4222.65
908.325,948.45,1004.8,1032.25,1079.55,1050,1060.2,1119.7,1044.15,1032.1,1086.6,1096.85,1094.6,1065.2,1021.75,1020.825,1010.9,940.775,921
395.235,416.15,513.62,474.36,471.915,481.975,456.91,450.17,420.33,399.45,417.205,408.47,387.655,364.75,341.455,354.845,345.335,325.25,325.84
324.205,327.2,369.955,362.495,359.71,363.07,388.14,401.785,395.255,394.34,381.27,406.965,388.97,374.05,361.96,399.015,399.35,382.255,381.075
1089.55,1167.15,1179.5,1131.25,1145.15,1184.65,1137.2,1160.4,1116.35,1038.225,998.9,999.75,955.3,900.25,937.6,1054.425,1090.5,1098.3,1112.75
1345,1311.95,1307.45,1354.05,1448.8,1526.45,1551,1575.35,1515.4,1528.1,1638.5,1675.6,1748.85,1718.4,1790.2,1795.45,1783.1,1683.6,1685.45
1179.8,1180.6,1149.4,1158,1136.15,1127.5,1099.8,1163.7,1150.75,1154.25,1129.45,1107.8,1131.7,1141.1,1118.65,1136.4,1165,1151.75,1157.85
713.4,697.65,662.2,637.075,637.325,668.725,717.525,785.35,788.375,756.55,680.25,701.25,599.775,444.91,394.36,396.775,383.98,379.52,364.03
339.815,315.5,341.04,353.245,336.075,348.595,340.26,375.62,361.39,356.685,374.165,323.12,308.38,309.535,329.03,347.245,351.635,337.68,346.84
2945.8498,3149.7511,3324.5004,3566.46595,3550.8145,3588.526,3380.6,3293.35,3148.3,2893.45,2994.75,3051.1,3161.3,3051.9,2935.5,3408.9,3574.75,3449.3,3438.75
129.6152,154.72745,158.90225,142.4669,134.565,133.125,126.025,127.02,113.765,103.67,98.9425,104.1025,100.765,85.7525,80.5925,102.0475,97.1325,94.1775,108.585
271.3,282.54,291.09,302.305,304.17,297.22,288.965,305.275,293.035,298.2,296.075,300.99,309.785,294.535,278.105,285.475,293.06,296.805,315.34
889.46945,886.63795,973.48445,1031.9147,1007.6207,997.60315,981.1378,921.9451,733.06075,655.19405,696.1832,562.12795,539.8475,500.88,425.8675,465.4775,484.38,520.1675,530.3025
811.05,889.125,951.35,954,912.25,905.75,919.2,976.225,911.975,868.65,910.475,976.55,983.35,924.925,875.425,892.95,910.9,883.5,883
690.35,719.775,752.875,821.9,869.2,948.125,954.875,973.825,914.525,906.75,881.9,895.55,879.5,819.425,700.375,701.55,741.35,753.9,751.6
2086.1,2074.65,2021.45,2125.2,2137.6,2159.9,2121.1,2177.4,2103.75,2137.7,2241.85,2194.15,2158.6,2125.7,2134.2,2110.3,2202.05,2225.1,2246.2
2090.9,2130.15,2222.15,2224.45,2223.8,2264.55,2092.6,1948.7,1819.5,1718.15,1706.3,1719.8,1763.95,1636.55,1594.3,1789.8,1828.1,1793.05,1674.7
315.45,320.56,339.605,350.035,369.15,395.81,383.37,332.55,299.47,313.655,275.52,234.905,221.985,202.845,210.22,239.295,239.985,257.685,232.33
127.06,125.96,139.64,145.415,149.81,143.345,135.325,122.875,108.43,117.375,122,110.3175,118.775,113.065,99.045,100.1075,92.8375,86.13,69.46
2322.7,2455.1,2649.55,2674.55,2872.4,2845.7,2956.7,3156.6,3123.8,3116.55,2988.2,3376.25,3243.25,2770.2,2915.45,2897.45,2590.9,2401.15,2488.2
380.58,399.88,331.435,334.355,417.445,389.345,331.945,245.71,205.925,191.745,224.845,202.58,169.755,142.875,166.02,202.845,208.515,251.075,242.435
1839.75,1974.8,1978.35,1981.4,2101.5,2184.25,2146.25,2199.75,2031.25,2004.05,1933.65,1969.8,1973.2,1868.2,1754.35,1794.5,1814.25,1843.9,1850.05
